,product,reviews_number,title,positive,negative,neutral,positive_percent,negative_percent,neutral_percent
0,0194519945,22,English file digital. Intermediate. Entry checker-Student's book-Workbook-iTutor-iChecker. With key. Per le Scuole superiori. Con espansione online,17.0,3.0,2.0,0.7727272727272727,0.13636363636363635,0.09090909090909091
1,0714898627,36,L'architettura moderna dal 1900. Ediz. illustrata,30.0,2.0,4.0,0.8333333333333334,0.05555555555555555,0.1111111111111111
2,1107480558,39,Essential Grammar in Use with Answers. Per le Scuole superiori,36.0,2.0,1.0,0.9230769230769231,0.05128205128205128,0.02564102564102564
3,1107481112,29,Grammar and vocabulary for advanced book. Per le Scuole superiori. Con e-book. Con espansione online,26.0,2.0,1.0,0.896551724137931,0.06896551724137931,0.034482758620689655
4,1107663393,9,Complete first. Workbook. With answers. Per le Scuole superiori. Con CD Audio. Con espansione online,8.0,0.0,1.0,0.8888888888888888,0.0,0.1111111111111111
5,1474917739,14,Alla scoperta di Londra. Con adesivi. Ediz. illustrata,10.0,1.0,3.0,0.7142857142857143,0.07142857142857142,0.21428571428571427
6,147491828X,48,Il giardino. Libri tattili sonori. Ediz. illustrata,34.0,5.0,9.0,0.7083333333333334,0.10416666666666667,0.1875
7,1474929354,26,Nella fattoria. Libri tattili sonori,24.0,1.0,1.0,0.9230769230769231,0.038461538461538464,0.038461538461538464
8,1474930794,68,Cos'è la cacca? Sollevo e scopro. Ediz. illustrata,65.0,0.0,3.0,0.9558823529411765,0.0,0.04411764705882353
9,1521472262,12,Non posso avvicinarmi a meno di 10 metri da Te,9.0,2.0,1.0,0.75,0.16666666666666666,0.08333333333333333
10,154872677X,33,Diario Alimentare 90 Giorni: Agenda Perdita Di Peso E Attività Giornaliere Blu,31.0,0.0,2.0,0.9393939393939394,0.0,0.06060606060606061
11,1548943339,98,Le Mie Ricette,94.0,1.0,3.0,0.9591836734693877,0.01020408163265306,0.030612244897959183
12,1730731945,7,Le Mie Ricette Preferite: Un ricettario personalizzato dove puoi scrivere le ricette dei piatti più buoni e sfiziosi che hai creato.,7.0,0.0,0.0,1.0,0.0,0.0
13,1908707720,13,La mia Prima Chitarra - Imparare a suonare: Bambini,7.0,4.0,2.0,0.5384615384615384,0.3076923076923077,0.15384615384615385
14,1974542718,24,Come Laurearsi Velocemente e con Voti Alti: anche se non puoi seguire tutte le lezioni e senza rinunciare alla tua vita sociale,20.0,3.0,1.0,0.8333333333333334,0.125,0.041666666666666664
15,1978468520,15,"25 ricette per il vaporetto: semplice, delizioso e veloce: Volume 1",4.0,11.0,0.0,0.26666666666666666,0.7333333333333333,0.0
16,1978469268,16,"25 ricette per il vaporetto: semplice, deliziose e veloce: Volume 2",4.0,10.0,2.0,0.25,0.625,0.125
17,2070362299,4,GIDE IMMORALISTE,4.0,0.0,0.0,1.0,0.0,0.0
18,3150199212,10,"Per questo mi chiamo Giovanni, Libro tascabile",5.0,3.0,2.0,0.5,0.3,0.2
19,8800220479,11,Un mondo di parole.  Quaderno supporto devoto oli jr.,11.0,0.0,0.0,1.0,0.0,0.0
20,8800229352,8,Fisica! Pensare l'universo. Ediz. laboratorio. Per i Licei e gli Ist. magistrali. Con e-book. Con espansione online: 2,7.0,1.0,0.0,0.875,0.125,0.0
21,8800500536,361,Il nuovo Devoto-Oli junior. Il mio primo vocabolario di italiano. Ediz. ad alta leggibilità,338.0,11.0,12.0,0.9362880886426593,0.030470914127423823,0.0332409972299169
22,8804590882,83,Un nuovo mondo. Riconosci il vero senso della tua vita,75.0,3.0,5.0,0.9036144578313253,0.03614457831325301,0.060240963855421686
