,product,category,title,tokens,tokens_stemming
0,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['comprato', 'cofanetto', 'blu-ray', 'dischi', 'settimana', 'scorsa', 'provo', 'appena', 'arrivato', 'casa', 'dvd', 'film', 'carica', 'resta', 'menu', 'lettore', 'dvd', 'provato', 'dvd', 'contenuti', 'speciali', 'partito', 'qualit', 'buona', 'scene', 'eliminate', 'alcune', 'puntini', 'bianchi', 'so', 'qualit', 'dvd', 'montaggio', 'scene', 'reso', 'venuti', 'prenderlo', 'venerd', 'arrivato', 'sostitutivo', 'avermi', 'preso', 'carta', 'credito', 'beh', 'provato', 'dvd', 'film', 'contenuti', 'speciali', 'com', 'possibile', 'senso', 'no', 'prove', 'rimettendolo', 'togliendolo', 'provando', 'dvd', 'blu-ray', 'blu-ray', 'risveglio', 'forza', 'rogue', 'one', 'reso', 'euro', 'trattenuto', 'cofanetto']","['compr', 'cofanett', 'blu-ray', 'disc', 'settiman', 'scors', 'prov', 'appen', 'arriv', 'cas', 'dvd', 'film', 'caric', 'rest', 'menu', 'lettor', 'dvd', 'prov', 'dvd', 'conten', 'special', 'part', 'qualit', 'buon', 'scen', 'elimin', 'alcun', 'puntin', 'bianc', 'so', 'qualit', 'dvd', 'montagg', 'scen', 'res', 'ven', 'prend', 'venerd', 'arriv', 'sostitut', 'averm', 'pres', 'cart', 'cred', 'beh', 'prov', 'dvd', 'film', 'conten', 'special', 'com', 'possibil', 'sens', 'no', 'prov', 'rimett', 'togl', 'prov', 'dvd', 'blu-ray', 'blu-ray', 'risvegl', 'forz', 'rogu', 'one', 'res', 'eur', 'tratten', 'cofanett']"
1,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['niente', 'consueta', 'velocit', 'amazon', 'politica', 'reso', 'funziona', 'grande', 'problema', 'disco', 'preso', 'ben', 'due', 'due', 'funzionante', 'ora', 'tanti', 'manifestato', 'problema', 'tratta', 'partita', 'guasta', 'opportuno', 'dovere', 'ricerchina', 'ritiri', 'blocco', 'bluray', 'difettosi', 'mercato', 'comprarlo']","['nient', 'consuet', 'velocit', 'amazon', 'polit', 'res', 'funzion', 'grand', 'problem', 'disc', 'pres', 'ben', 'due', 'due', 'funzion', 'ora', 'tant', 'manifest', 'problem', 'tratt', 'part', 'guast', 'opportun', 'dov', 'ricerchin', 'ritir', 'blocc', 'bluray', 'difett', 'merc', 'compr']"
2,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['spedizione', 'puntuale', 'prodotto', 'arrivato', 'integro', 'riguarda', 'film', 'parte', 'video', 'livelli', 'massimi', 'audio', '7.1', 'dolby', 'digital', 'plus', 'dialoghi', 'sentono', 'piano', 'scene', 'movimentate', 'effetti', 'speciali', 'livello', 'volume', 'aumenta', 'cara', 'disney', 'meglio', 'dts', 'dolby', 'digital']","['spedizion', 'puntual', 'prodott', 'arriv', 'integr', 'riguard', 'film', 'part', 'vide', 'livell', 'massim', 'aud', '7.1', 'dolby', 'digital', 'plus', 'dialog', 'sent', 'pian', 'scen', 'moviment', 'effett', 'special', 'livell', 'volum', 'aument', 'car', 'disney', 'megl', 'dts', 'dolby', 'digital']"
3,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['wars', 'ultimi', 'jedi', 'wars', 'the', 'last', 'jedi', 'noto', 'wars', 'episodio', 'viii', 'ultimi', 'jedi', 'film', 'scritto', 'diretto', 'rian', 'johnson', 'primo', 'ordine', 'prepara', 'stroncare', 'resta', 'resistenza', 'rey', 'consegna', 'luke', 'skywalker', 'spada', 'laser', 'invitandolo', 'interrompere', 'esilio', 'salvare', 'mondo', 'libero', 'luke', 'vuole', 'sapere', 'lato', 'oscuro', 'tesse', 'trama', 'letale', 'attorno', 'ultimi', 'ribelli', 'ormai', 'questione', 'aspettative', 'equilibrio', 'voglia', 'voler', 'bene', 'saga', 'portata', 'via', 'fetta', 'inevitabile', 'gelosia', 'avverte', 'fetta', 'sottratta', 'modificata', 'peggio', 'ridicolizzata', 'equilibrio', 'difficile', 'controllare', 'almeno', 'luce', 'lato', 'oscuro', 'forza']","['wars', 'ultim', 'jed', 'wars', 'the', 'last', 'jed', 'not', 'wars', 'episod', 'vii', 'ultim', 'jed', 'film', 'scritt', 'dirett', 'rian', 'johnson', 'prim', 'ordin', 'prepar', 'stronc', 'rest', 'resistt', 'rey', 'consegn', 'luk', 'skywalker', 'spad', 'laser', 'invit', 'interromp', 'esil', 'salv', 'mond', 'liber', 'luk', 'vuol', 'sap', 'lat', 'oscur', 'tess', 'tram', 'letal', 'attorn', 'ultim', 'ribell', 'orma', 'question', 'aspett', 'equilibr', 'vogl', 'voler', 'ben', 'sag', 'port', 'via', 'fett', 'inevit', 'gelos', 'avvert', 'fett', 'sottratt', 'modific', 'pegg', 'ridicolizz', 'equilibr', 'difficil', 'controll', 'almen', 'luc', 'lat', 'oscur', 'forz']"
4,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['recensione', 'temporanea', 'attesa', 'guardarlo', 'versione', 'wars', 'ultimi', 'jedi', 'contiene', 'due', 'dischi', 'blu-ray', 'primo', 'disco', 'contiene', 'film', 'vero', 'commenti', 'regista', 'sceneggiatore', 'secondo', 'disco', 'anch', 'blu-ray', 'contiene', 'extra', 'regista', 'jedi', 'equilibrio', 'forza', 'analisi', 'scene', 'spettacolo', 'andy', 'serkis', 'scene', 'eliminate', 'perso', 'numeri', 'wars', 'episodio', 'dovrebbe', 'ottavo', 'rappresenta', 'nuova', 'saga', 'parte', 'continuum', 'temporale', 'precedenti', 'wars', 'iv-v-vi', 'generare', 'confusione', 'precedenti', 'episodi', 'acquistato', 'passato', 'precedenti', 'wars', 'i-ii-ii', 'iv-v-vi', 'pi', 'vecchi', 'vii', 'risveglio', 'forza', 'goder', 'calma', 'ottavo', 'episodio', 'appassionati', 'genere', 'qualit', 'blu-ray', 'alta', 'definizione']","['recension', 'temporane', 'attes', 'guard', 'version', 'wars', 'ultim', 'jed', 'contien', 'due', 'disc', 'blu-ray', 'prim', 'disc', 'contien', 'film', 'ver', 'comment', 'regist', 'scenegg', 'second', 'disc', 'anch', 'blu-ray', 'contien', 'extra', 'regist', 'jed', 'equilibr', 'forz', 'analis', 'scen', 'spettacol', 'andy', 'serkis', 'scen', 'elimin', 'pers', 'numer', 'wars', 'episod', 'dovrebb', 'ottav', 'rappresent', 'nuov', 'sag', 'part', 'continuum', 'temporal', 'precedent', 'wars', 'iv-v-vi', 'gener', 'confusion', 'precedent', 'episod', 'acquist', 'pass', 'precedent', 'wars', 'i-ii-', 'iv-v-vi', 'pi', 'vecc', 'vii', 'risvegl', 'forz', 'goder', 'calm', 'ottav', 'episod', 'appassion', 'gen', 'qualit', 'blu-ray', 'alta', 'definizion']"
5,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['saga', 'continua', 'dubbi', 'rimangono', 'confessare', 'film', 'entusiasmato', 'troppo', 'trama', 'alterna', 'fotocopia', 'trilogia', 'classica', 'discontinua', 'accozzaglia', 'temi', 'punti', 'interrogativi', 'gettati', 'risveglio', 'forza', 'vengono', 'risolti', 'anzi', 'semmai', 'ingranditi', 'film', 'salva', 'avviso', 'tre', 'aspetti', 'speranza', 'miglioramento', 'episodio', 'ix', 'resto', 'attacco', 'cloni', 'film', 'inutile', 'preso', 'singolarmente', 'denso', 'significati', 'funzione', 'vendetta', 'sith', 'cameo', 'vecchie', 'conoscenze', 'colpi', 'scena', 'interessanti', 'fotografia', 'spettacolare']","['sag', 'continu', 'dubb', 'rimang', 'confess', 'film', 'entusiasm', 'tropp', 'tram', 'altern', 'fotocop', 'trilog', 'classic', 'discontinu', 'accozzagl', 'tem', 'punt', 'interrog', 'gett', 'risvegl', 'forz', 'veng', 'risolt', 'anzi', 'semma', 'ingrand', 'film', 'salv', 'avvis', 'tre', 'aspett', 'speranz', 'miglior', 'episod', 'ix', 'rest', 'attacc', 'clon', 'film', 'inutil', 'pres', 'singolar', 'dens', 'signific', 'funzion', 'vendett', 'sith', 'came', 'vecc', 'conosct', 'colp', 'scen', 'interess', 'fotograf', 'spettacol']"
6,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['trama', 'film', 'son', 'scritti', 'fiumi', 'fiumi', 'pagine', 'sento', 'aggiungere', 'nient', 'interessati', 'prodotto', 'buona', 'probabilit', 'opinione', 'personalmente', 'film', 'godibilissimo', 'diversi', 'colpi', 'scena', 'ottimo', 'finale', 'qualit', 'edizione', 'basito', 'negativo', 'film', 'portata', 'modo', 'tollerare', 'giustificare', 'traccia', 'audio', 'italiana', 'semplice', 'dolby', 'digital', 'carit', 'grande', 'maggioranza', 'guarder', 'ascoltando', 'audio', 'casse', 'flat', 'tv', 'manco', 'accorger', 'prodotto', 'caratura', 'dev', 'prodotto', 'meglio', 'intrattenimento', 'domestico', 'audio', 'multi', 'canale', 'qualit', 'do', 'sufficienza', 'qualit', 'globale', 'video', 'presenza', 'almeno', 'traccia', 'dts', 'hd', 'lingua', 'originale']","['tram', 'film', 'son', 'scritt', 'fium', 'fium', 'pagin', 'sent', 'aggiung', 'nient', 'interess', 'prodott', 'buon', 'probabilit', 'opinion', 'personal', 'film', 'godibilissim', 'div', 'colp', 'scen', 'ottim', 'final', 'qualit', 'edizion', 'bas', 'negat', 'film', 'port', 'mod', 'toller', 'giustific', 'tracc', 'aud', 'italian', 'semplic', 'dolby', 'digital', 'carit', 'grand', 'maggior', 'guarder', 'ascolt', 'aud', 'cass', 'flat', 'tv', 'manc', 'accorger', 'prodott', 'caratur', 'dev', 'prodott', 'megl', 'intratten', 'domest', 'aud', 'mult', 'canal', 'qualit', 'do', 'sufficit', 'qualit', 'global', 'vide', 'presenz', 'almen', 'tracc', 'dts', 'hd', 'lingu', 'original']"
7,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['appassionato', 'wars', 'poteva', 'mancare', 'capitolo', 'saga', 'acquistato', 'versione', 'dvd', 'blu-ray', 'confezione', 'normale', 'recensione', 'episodio', 'vii', 'brilla', 'eleganza', 'motivo', 'manca', 'quinta', 'stella', 'contenuti', 'almeno', 'riguarda', 'altezza', 'aspettative']","['appassion', 'wars', 'pot', 'manc', 'capitol', 'sag', 'acquist', 'version', 'dvd', 'blu-ray', 'confezion', 'normal', 'recension', 'episod', 'vii', 'brill', 'eleg', 'mot', 'manc', 'quint', 'stell', 'conten', 'almen', 'riguard', 'altezz', 'aspett']"
8,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['beh', 'potranno', 'piacere', 'meno', 'capitoli', 'saga', 'propria', 'opinione', 'personalmente', 'dispiaciuti', 'visti', 'compreso', 'piacere', 'senz', 'appassionato', 'must', 'vedo', 'acquistare', 'oltretutto', 'buon', 'prezzo']","['beh', 'potrann', 'piac', 'men', 'capitol', 'sag', 'propr', 'opinion', 'personal', 'dispiac', 'vist', 'compres', 'piac', 'senz', 'appassion', 'must', 'ved', 'acquist', 'oltretutt', 'buon', 'prezz']"
9,B0781YXHRH,dvd,Star Wars: Gli Ultimi Jedi,"['superlativo', 'cinema', 'rivisto', 'br', 'emozioni', 'piaciuto', 'molto', 'pi', 'leggero', 'risveglio', 'forza', 'bello', 'bello', 'bello', 'acquistare', 'goderselo', 'propria', 'collezione', 'serie', 'ormai', 'diventata', 'leggenda', 'cinema']","['superl', 'cinem', 'rivist', 'br', 'emozion', 'piac', 'molt', 'pi', 'legger', 'risvegl', 'forz', 'bell', 'bell', 'bell', 'acquist', 'godersel', 'propr', 'collezion', 'ser', 'orma', 'divent', 'legg', 'cinem']"
