,product,category,title,tokens,tokens_stemming
0,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['inizio', 'dicendo', 'visivamente', 'gioco', 'stupendo', 'mantiene', 'costantemente', 'fps', 'modalit', 'portatile', 'docking', 'presenta', 'variet', 'ambienti', 'diversi', 'realizzati', 'maniera', 'eccellente', 'esiste', 'mondo', 'deserto', 'mondo', 'cappelli', 'mondo', 'polare', 'nessuno', 'risulta', 'noioso', 'esplorare', 'anzi', 'mano', 'mano', 'prosegue', 'gioco', 'voglia', 'esplorarli', 'aumenta', 'riguarda', 'colonna', 'sonora', 'poco', 'semplicemente', 'fenomenale', 'gioco', 'apprezzato', 'giocatori', 'occasionali', 'veterani', 'super', 'mario', '64', '', 'padre', 'madre', 'gioca', 'figli', 'pagato', 'euro', 'giorno', 'uscita', 'soldi', 'ben', 'spesi', 'data', 'qualit', 'gioco', 'spero', 'apprezzino', 'gioco', 'apprezzato']","['iniz', 'dic', 'visiv', 'gioc', 'stup', 'mantien', 'costant', 'fps', 'modalit', 'portatil', 'docking', 'present', 'variet', 'ambient', 'div', 'realizz', 'manier', 'eccellent', 'esist', 'mond', 'desert', 'mond', 'cappell', 'mond', 'pol', 'nessun', 'risult', 'noios', 'esplor', 'anzi', 'man', 'man', 'prosegu', 'gioc', 'vogl', 'esplor', 'aument', 'riguard', 'colonn', 'sonor', 'poc', 'semplic', 'fenomenal', 'gioc', 'apprezz', 'giocator', 'occasional', 'veteran', 'super', 'mar', '64', '', 'padr', 'madr', 'gioc', 'figl', 'pag', 'eur', 'giorn', 'uscit', 'sold', 'ben', 'spes', 'dat', 'qualit', 'gioc', 'sper', 'apprezzin', 'gioc', 'apprezz']"
1,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['nintendo', 'super', 'mario', 'vanno', 'braccetto', 'tempo', 'ormai', 'sa', 'pi', 'rappresenti', 'ammetto', 'pensare', 'acquisto', 'switch', 'chiesto', 'salse', 'nintendo', 'riproposto', 'super', 'mario', 'ritenendo', 'imbarazzante', 'utilizzo', 'anni', 'passati', 'ignorante', 'beatamente', 'bellezza', 'giochi', 'tocco', 'console', 'nintendo', 'tempi', 'nintendo', '64', '', 'primo', 'gioco', 'super', 'mario', 'epoca', 'potevi', 'selezionare', 'tre', 'lingue', 'inglese', 'francese', 'spagnolo', 'insomma', 'lingue', 'bambino', 'anni', 'dovrebbe', 'conoscere', 'giusto', 'vabb', 'genio', 'giocavo', 'madre', 'conosceva', 'francese', 'riuscire', 'capirci', 'neanche', 'idea', 'esistesse', 'chiamata', 'memory', 'card', 'giorno', 'bill', 'murray', 'giorno', 'marmotta', 'ricominciavo', 'gioco', 'zero', 'nessun', 'problema', 'gioco', 'piaceva', 'impazzire', 'capitolo', 'saga', 'super', 'mario', 'riuscito', 'farmi', 'brivido', 'nostalgia', 'poco', 'nostalgia', 'ultimamente', 'molte', 'aziende', 'tendono', 'monetizzare', 'nostalgia', 'fatta', 'pura', 'felicit', 'potermi', 'nuovamente', 'godere', 'gioco', 'divertente', 'giocai', 'bambino', 'voglia', 'pazienza', 'leggere', 'fino', 'fondo', 'recensione', 'posso', 'ringraziarla', 'invitarlo', 'acquistare', 'gioco', 'assolutamente', 'prodotto', 'possiede', 'nintendo', 'switch', 'acquisto', 'occhi', 'chiusi', 'abituati', 'rilascio', 'giochi', 'talmente', 'incompleti', 'beta', 'test', 'chicca', 'ben', 'rifinita', 'rarit', 'assoluta', 'garantisco', 'completisti', 'continuerete', 'giocarci', 'riprenderlo', 'prendere', 'luna', 'manca', 'fidatevi', 'dico', 'gioco', 'facile']","['nint', 'super', 'mar', 'vann', 'braccett', 'temp', 'orma', 'sa', 'pi', 'rappresent', 'ammett', 'pens', 'acquist', 'switc', 'chiest', 'sals', 'nint', 'ripropost', 'super', 'mar', 'riten', 'imbarazz', 'utilizz', 'anni', 'pass', 'ignor', 'beat', 'bellezz', 'gioc', 'tocc', 'consol', 'nint', 'temp', 'nint', '64', '', 'prim', 'gioc', 'super', 'mar', 'epoc', 'pot', 'selezion', 'tre', 'lingu', 'ingles', 'frances', 'spagnol', 'insomm', 'lingu', 'bambin', 'anni', 'dovrebb', 'conosc', 'giust', 'vabb', 'gen', 'gioc', 'madr', 'conosc', 'frances', 'riusc', 'cap', 'neanc', 'ide', 'esistess', 'chiam', 'memory', 'card', 'giorn', 'bill', 'murray', 'giorn', 'marmott', 'ricominc', 'gioc', 'zer', 'nessun', 'problem', 'gioc', 'piac', 'impazz', 'capitol', 'sag', 'super', 'mar', 'riusc', 'farm', 'brivid', 'nostalg', 'poc', 'nostalg', 'ultim', 'molt', 'azi', 'tend', 'monetizz', 'nostalg', 'fatt', 'pur', 'felicit', 'pot', 'nuov', 'god', 'gioc', 'divertent', 'gioca', 'bambin', 'vogl', 'pazienz', 'legg', 'fin', 'fond', 'recension', 'poss', 'ringraz', 'invit', 'acquist', 'gioc', 'assolut', 'prodott', 'possied', 'nint', 'switc', 'acquist', 'occhi', 'chius', 'abitu', 'rilasc', 'gioc', 'talment', 'incomplet', 'bet', 'test', 'chicc', 'ben', 'rifin', 'rarit', 'assol', 'garant', 'complet', 'continu', 'gioc', 'riprend', 'prend', 'lun', 'manc', 'fidat', 'dic', 'gioc', 'facil']"
2,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['legittimo', 'erede', 'super', 'mario', '64', '', 'odyssey', 'recupera', 'canone', 'struttura', 'ritmi', 'esalta', 'grazie', 'brillante', 'operazione', 'ammodernamento', 'risultato', 'gioco', 'enciclopedico', 'monumentale', 'include', 'frammenti', 'bidimensionali', 'super', 'mario', 'bros', 'cambi', 'prospettiva', 'galaxy', 'sguazzante', 'allegria', 'sunshine', 'livelli', 'meccanici', 'world', 'odyssey', 'insomma', 'storia', 'super', 'mario', 'pi', 'piante', 'piranha', 'pallottolo', 'bill', 'immaginario', 'urbano', 'preistorico', 'macabro', 'feudale', 'tetro', 'persino', 'lunare', 'resta', 'vero', 'livello', 'stilistico', 'odyssey', 'coerenza', 'eleganza', 'capitoli', 'galattici', 'arrivati', 'wii', 'iconografia', 'inedita', 'curiosa', 'appariscente', 'elemento', 'differenza', 'variet', 'sconfinata', 'cose', 'dinamismo', 'gameplay', 'super', 'mario', 'odyssey', 'sorpresa', 'continua', 'inizio', 'fine', 'ben', 'titoli', 'coda', 'platform', 'maniera', 'modulare', 'alterna', 'esplorazione', 'libera', 'diaboliche', 'prove', 'abilit', 'riuscendo', 'clamorosa', 'impresa', 'accontentare', 'palati', 'traboccante', 'segreti', 'costumi', 'collezionare', 'monete', 'speciali', 'livelli', 'estrosi', 'nemici', 'cap-turare', 'platform', 'pi', 'denso', 'eclettico', 'vibrante', 'fresco', 'originale', 'apparentemente', 'inestinguibile', 'viaggio', 'rimarr', 'storia', 'memoria', 'assieme', 'inebriante', 'meraviglia', 'accompagna', 'arrivo', 'grandi', 'capolavori', 'consegna', 'puntuale']","['legittim', 'ered', 'super', 'mar', '64', '', 'odyssey', 'recuper', 'canon', 'struttur', 'ritm', 'esalt', 'graz', 'brillant', 'oper', 'ammodern', 'risult', 'gioc', 'encicloped', 'monumental', 'includ', 'framment', 'bidimensional', 'super', 'mar', 'bros', 'camb', 'prospett', 'galaxy', 'sguazzant', 'allegr', 'sunshin', 'livell', 'meccan', 'world', 'odyssey', 'insomm', 'stor', 'super', 'mar', 'pi', 'piant', 'piranh', 'pallottol', 'bill', 'immaginar', 'urban', 'preistor', 'macabr', 'feudal', 'tetr', 'persin', 'lun', 'rest', 'ver', 'livell', 'stilist', 'odyssey', 'coerenz', 'eleg', 'capitol', 'galatt', 'arriv', 'wii', 'iconograf', 'ined', 'curios', 'appariscent', 'element', 'differt', 'variet', 'sconfin', 'cos', 'dinam', 'gameplay', 'super', 'mar', 'odyssey', 'sorpres', 'continu', 'iniz', 'fin', 'ben', 'titol', 'cod', 'platform', 'manier', 'modul', 'altern', 'esplor', 'liber', 'diabol', 'prov', 'abilit', 'riusc', 'clamor', 'impres', 'accontent', 'pal', 'trabocc', 'segret', 'costum', 'collezion', 'mon', 'special', 'livell', 'estros', 'nemic', 'cap-tur', 'platform', 'pi', 'dens', 'eclett', 'vibrant', 'fresc', 'original', 'apparent', 'inestingu', 'viagg', 'rimarr', 'stor', 'memor', 'assiem', 'inebr', 'meravigl', 'accompagn', 'arriv', 'grand', 'capolavor', 'consegn', 'puntual']"
3,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['pi', 'bei', 'capitoli', 'super', 'mario', 'gioco', 'fluido', 'divertente', 'nulla', 'criticare', 'amanti', 'titolo', 'potete', 'collezione']","['pi', 'bei', 'capitol', 'super', 'mar', 'gioc', 'fluid', 'divertent', 'null', 'critic', 'amant', 'titol', 'pot', 'collezion']"
4,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['mario', 'et', 'videogioco', 'conferma', 'bene', 'nuovissima', 'generazione', 'maggior', 'ragione', 'generazione', 'cresciuta', 'mario', 'penso', 'enni', 'gioco', 'bellissimi', 'colori', 'riferimenti', 'vecchi', 'mario', 'supermario', 'supermario', 'scusate', 'metto', 'screenshot', 'credo', 'spoiler', 'esagerati', 'gioco', 'basa', 'diversi', 'regni', 'sbloccare', 'vagando', 'navicella', 'odyssey', 'appunto', 'ricerca', 'principessa', 'durata', 'gioco', 'principale', 'ore', 'giocando', 'ora', 'sera', 'completato', 'storia', 'due', 'settimane', 'ovviamente', 'servono', 'molte', 'pi', 'completare', 'gioco', 'storia', 'principale', 'copre', 'mondi', 'possibili', 'tante', 'lune', 'recuperare', 'sento', 'consigliare', 'gioco', 'bellezza', 'giocabilit', 'console', 'nintendo', 'necessita', 'almeno', 'mario']","['mar', 'et', 'videogioc', 'conferm', 'ben', 'nuovissim', 'gener', 'maggior', 'ragion', 'gener', 'cresc', 'mar', 'pens', 'enni', 'gioc', 'bellissim', 'color', 'rifer', 'vecc', 'mar', 'supermar', 'supermar', 'scus', 'mett', 'screenshot', 'cred', 'spoiler', 'esager', 'gioc', 'bas', 'div', 'regn', 'sblocc', 'vag', 'navicell', 'odyssey', 'appunt', 'ricerc', 'principess', 'dur', 'gioc', 'principal', 'ore', 'gioc', 'ora', 'ser', 'complet', 'stor', 'due', 'settiman', 'ovvi', 'serv', 'molt', 'pi', 'complet', 'gioc', 'stor', 'principal', 'copr', 'mond', 'possibil', 'tant', 'lun', 'recuper', 'sent', 'consigl', 'gioc', 'bellezz', 'giocabilit', 'consol', 'nint', 'necess', 'almen', 'mar']"
5,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['gioco', 'stupendo', 'comincia', 'bowser', 'rapisce', 'dolce', 'principessa', 'peach', 'mario', 'tenta', 'salvarla', 'salendo', 'aeronave', 'bowser', 'viene', 'scaraventato', 'cappello', 'rimane', 'semi-distrutto', 'eliche', 'nave', 'mario', 'precipita', 'regno', 'cappello', 'sveglia', 'cappy', 'racconta', 'sorellina', 'rapita', 'bowser', 'due', 'decidono', 'aiutarsi', 'vicenda', 'comincia', 'viaggio', 'avventuroso', 'grafica', 'meravigliosa', 'ricca', 'particolari', 'accompagnata', 'musica', 'coinvolgente', 'tratti', 'epica', 'possibile', 'giocare', 'soli', 'utilizzando', 'due', 'joycon', 'modalit', 'cooperativa', 'giocatore', 'mario', 'cappy', 'mano', 'joycon', 'mario', 'visiter', 'esplorer', 'ben', 'mondi', 'realizzati', 'dovizia', 'particolari', 'mondo', 'mario', 'cappy', 'dovranno', 'raccogliere', 'lune', 'serviranno', 'volare', 'nave', 'odissey', 'mondo', 'praticamente', 'gameover', 'mario', 'muore', 'vengono', 'scalate', 'monete', 'ricomincia', 'punto', 'mario', 'perso', 'ultima', 'gioco', 'fantastico', 'assolutamente', 'propria', 'collezione', 'nintendo', 'switch']","['gioc', 'stup', 'cominc', 'bowser', 'rap', 'dolc', 'principess', 'peac', 'mar', 'tent', 'salv', 'sal', 'aeronav', 'bowser', 'vien', 'scaravent', 'cappell', 'riman', 'semi-distrutt', 'elic', 'nav', 'mar', 'precip', 'regn', 'cappell', 'svegl', 'cappy', 'raccont', 'sorellin', 'rap', 'bowser', 'due', 'decid', 'aiut', 'vic', 'cominc', 'viagg', 'avventur', 'grafic', 'meravigl', 'ricc', 'particolar', 'accompagn', 'music', 'coinvolgent', 'tratt', 'epic', 'possibil', 'gioc', 'sol', 'utilizz', 'due', 'joycon', 'modalit', 'cooper', 'giocator', 'mar', 'cappy', 'man', 'joycon', 'mar', 'visiter', 'esplorer', 'ben', 'mond', 'realizz', 'doviz', 'particolar', 'mond', 'mar', 'cappy', 'dovrann', 'raccogl', 'lun', 'serv', 'vol', 'nav', 'odissey', 'mond', 'pratic', 'gameover', 'mar', 'muor', 'veng', 'scal', 'mon', 'ricominc', 'punt', 'mar', 'pers', 'ultim', 'gioc', 'fantast', 'assolut', 'propr', 'collezion', 'nint', 'switc']"
6,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['super', 'mario', 'odyssey', 'veramente', 'stupefatta', 'veterana', 'nintendo', 'giocato', 'giochi', 'serie', 'mario', 'battuto', 'pronostici', 'prospetta', 'avventura', 'interessante', 'ricca', 'emozioni', 'nostalgici', 'consiglio', 'vogliono', 'rivivere', 'avventura', 'modo', 'eccezionale', 'grafica', 'movimenti', 'top']","['super', 'mar', 'odyssey', 'ver', 'stupefatt', 'veteran', 'nint', 'gioc', 'gioc', 'ser', 'mar', 'batt', 'pronost', 'prospett', 'avventur', 'interess', 'ricc', 'emozion', 'nostalg', 'consigl', 'vogl', 'riviv', 'avventur', 'mod', 'eccezional', 'grafic', 'mov', 'top']"
7,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['platform', 'scosta', 'pochino', 'solita', 'impostazione', 'super', 'mario', 'approccio', 'pi', 'libero', 'aperto', 'bisogna', 'andare', 'giro', 'raccogliere', 'lune', 'completando', 'minigiochi', 'obiettivi', 'secondari', 'trovando', 'segreti', 'sfruttando', 'capacit', 'prendere', 'possesso', 'nemici', 'utilizzare', 'abilit', 'ottimo', 'design', 'livelli', 'grafica', 'mette', 'torchio', 'switch', 'muove', 'fps', 'costanti', 'colonna', 'sonora', 'urlo', 'gioco', 'divertente', 'difficolt', 'tacchi', 'alzato', 'numero', 'lune', 'richieste', 'procedere', 'livello', 'rende', 'titolo', 'particolarmente', 'adatto', 'grandi', 'piccini', 'complice', 'presenza', 'multiplayer', 'due', 'giocatori', 'ottimo', 'motivo', 'switch']","['platform', 'scost', 'pochin', 'sol', 'impost', 'super', 'mar', 'approcc', 'pi', 'liber', 'apert', 'bisogn', 'andar', 'gir', 'raccogl', 'lun', 'complet', 'minigioc', 'obiett', 'secondar', 'trov', 'segret', 'sfrutt', 'capacit', 'prend', 'possess', 'nemic', 'utilizz', 'abilit', 'ottim', 'design', 'livell', 'grafic', 'mett', 'torc', 'switc', 'muov', 'fps', 'costant', 'colonn', 'sonor', 'urlo', 'gioc', 'divertent', 'difficolt', 'tacc', 'alzat', 'numer', 'lun', 'richiest', 'proced', 'livell', 'rend', 'titol', 'particolar', 'adatt', 'grand', 'piccin', 'complic', 'presenz', 'multiplayer', 'due', 'giocator', 'ottim', 'mot', 'switc']"
8,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['descrizione', 'gioco', 'consiste', 'superare', 'livelli', 'raccogliendo', 'stelle', 'riparare', 'ripartire', 'navicella', 'affrontare', 'mondi', 'esperienza', '""d""', 'uso', 'gioco', 'divertente', 'occorre', 'destreggiarsi', 'comandi', 'poter', 'compiere', 'mario', 'movimenti', 'utili', 'superare', 'ostacoli', 'serve', 'abilit', 'pi', 'piccoli', 'scoraggiare', 'abbandonare', 'periodo', 'gioco', 'attivit', 'meno', 'impegnative']","['descrizion', 'gioc', 'consist', 'super', 'livell', 'raccogl', 'stell', 'ripar', 'ripart', 'navicell', 'affront', 'mond', 'esperit', '""d""', 'uso', 'gioc', 'divertent', 'occorr', 'destregg', 'comand', 'poter', 'comp', 'mar', 'mov', 'util', 'super', 'ostacol', 'serv', 'abilit', 'pi', 'piccol', 'scoragg', 'abbandon', 'period', 'gioc', 'attivit', 'men', 'impegn']"
9,B072N597H5,videogames,Super Mario Odyssey - Nintendo Switch,"['inutile', 'girarci', 'odyssey', 'miglior', 'super', 'mario', 'divertente', 'avvincente', 'coloratissimo', 'ricco', 'colpi', 'scena', 'gioco', 'mario', 'potr', 'muoversi', 'saltellare', 'tutte', 'direzioni', 'tanti', 'regni', 'esplorare', 'tantissime', 'prove', 'abilit', 'superare', 'consigliatissimo']","['inutil', 'gir', 'odyssey', 'miglior', 'super', 'mar', 'divertent', 'avvincent', 'coloratissim', 'ricc', 'colp', 'scen', 'gioc', 'mar', 'potr', 'muov', 'saltell', 'tutt', 'direzion', 'tant', 'regn', 'esplor', 'tantissim', 'prov', 'abilit', 'super', 'consigliatissim']"
